"Название";"ID";"Просмотры";"Канал";"Исходное видео";"Миниатюра"
"Драка в режиме онлайн";"bo07VVtl9v8";"82";"MVD PMR";"4E6RLFOh7ss";"https://i.ytimg.com/vi/bo07VVtl9v8/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLAAzgca0P_JXM2Ej4Ds88L1EDfAUg"
"Краткометражный фильм ""Беспредел"" (подростковый криминал)";"vkUcr3NuUS0";"1.1M";"Sanzhar Omar";"4E6RLFOh7ss";"https://i.ytimg.com/vi/vkUcr3NuUS0/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYQSBPKGUwDw==&rs=AOn4CLCB1knYWK0-nFUPfUWOnrywgPESIA"
"У Костянтинівці під атакою російських дронів | Репортаж з міста, яке намагаються захопити сили РФ";"8X262lEZGeE";"39K";"Радіо Свобода Україна";"4E6RLFOh7ss";"https://i.ytimg.com/vi/8X262lEZGeE/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCVdoskeQcvYXko1q6ICTjg8TfTIA"
"23 июля 2025 г.";"fQfHR3Kl_8A";"1.5K";"ГУ МЧС России по Республике Дагестан";"4E6RLFOh7ss";"https://i.ytimg.com/vi/fQfHR3Kl_8A/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYRiBXKGUwDw==&rs=AOn4CLD34ioUsA81BP4kH8rPKc3uKlBGiQ"
"🛑 НОВИНИ: Удар по Чернігівщині та масована атака на ПАВЛОГРАД | Обстріл ТРОЛЕЙБУСНОЇ мережі в КИЄВІ";"G0wwLMzWIeE";"25K";"Факти ICTV";"4E6RLFOh7ss";"https://i.ytimg.com/vi/G0wwLMzWIeE/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCNEi1BAZneDnvCCVK4FGudSii1hA"
"Afschuw na rellen Malieveld: ‘Zo jammer’";"mFWRvQ9fO1E";"6.1K";"De Telegraaf";"4E6RLFOh7ss";"https://i.ytimg.com/vi/mFWRvQ9fO1E/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBoqHu3e_ly26UlKnIcIDYO69WXLA"
"Turist kadın kaldığı otel odasını birbirine kattı";"sHLh_IYNDrg";"3.2M";"Demirören Haber Ajansı";"4E6RLFOh7ss";"https://i.ytimg.com/vi/sHLh_IYNDrg/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBSAK4kIUuoxw-_xkrK77Vov05Y7g"
"Z-иноагент | Почему военблогеры — враги для российского государства (English subtitles) @Max_Katz​";"a_7OgGj-_Vs";"117K";"Максим Кац";"4E6RLFOh7ss";"https://i.ytimg.com/vi/a_7OgGj-_Vs/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBkXgXz7J-U6Sw7qCRmlNpV1DZ-Hg"
"Купили форму вышли на заработки / Ты с какого колхоза?";"ZD6ZP94D_v4";"4.8M";"MrRissso";"4E6RLFOh7ss";"https://i.ytimg.com/vi/ZD6ZP94D_v4/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBCUEJ2CDfxq9JqacTS9ZUvg6YPEA"
"Сборник Лучших Номеров Ершова и Постовалова - Уральские Пельмени";"nk8mf9MoAyU";"17M";"Уральские Пельмени";"4E6RLFOh7ss";""
